top	sub	count
alg-geom	hep-th	3
astro-ph	gr-qc	20
astro-ph	hep-ph	13
astro-ph	hep-th	7
cond-mat	hep-th	3
gr-qc	astro-ph	5
gr-qc	hep-th	14
hep-ex	hep-ph	12
hep-lat	hep-ph	16
hep-lat	hep-th	4
hep-ph	astro-ph	16
hep-ph	gr-qc	4
hep-ph	hep-ex	4
hep-ph	hep-lat	7
hep-ph	hep-th	16
hep-ph	nucl-th	4
hep-th	astro-ph	10
hep-th	gr-qc	9
hep-th	hep-ph	25
hep-th	math	4
math	hep-th	3
nucl-ex	hep-ph	3
nucl-ex	nucl-th	5
nucl-th	hep-ph	5
quant-ph	cond-mat	3
